video,experiment,scale,crf,tx_resolution,pixel_reduction,bpp,original_size_mb,compressed_size_mb,compression_ratio,frames_compared,reference_detections,compressed_detections,matched_detections,missed_detections,avg_conf_baseline,avg_conf_compressed,mean_confidence_drop,pseudo_recall,new_detections,pseudo_precision
7.mp4,full_crf40,1.0,40,1920x1080,1,0.0065,7.47,0.5,14.88,314,3298,2221,1945,1353,0.4201,0.3839,0.0362,0.5898,276,0.8757
7.mp4,full_crf45,1.0,45,1920x1080,1,0.0036,7.47,0.28,27.03,314,3298,1451,1210,2088,0.4416,0.3834,0.0581,0.3669,241,0.8339
7.mp4,full_crf51,1.0,51,1920x1080,1,0.0016,7.47,0.12,61.61,314,3298,700,355,2943,0.4705,0.3321,0.1384,0.1076,345,0.5071
7.mp4,half_crf10,0.5,10,960x540,4,0.5886,7.47,11.42,0.65,314,3298,3213,2896,402,0.3941,0.3872,0.0069,0.8781,317,0.9013
7.mp4,half_crf15,0.5,15,960x540,4,0.2872,7.47,5.57,1.34,314,3298,3223,2869,429,0.3951,0.3875,0.0076,0.8699,354,0.8902
7.mp4,half_crf20,0.5,20,960x540,4,0.136,7.47,2.64,2.83,314,3298,3155,2787,511,0.3968,0.3863,0.0105,0.8451,368,0.8834
7.mp4,half_crf25,0.5,25,960x540,4,0.0604,7.47,1.17,6.38,314,3298,2831,2517,781,0.4047,0.3808,0.0239,0.7632,314,0.8891
7.mp4,half_crf30,0.5,30,960x540,4,0.0272,7.47,0.53,14.18,314,3298,2783,2276,1022,0.4058,0.391,0.0149,0.6901,507,0.8178
7.mp4,half_crf35,0.5,35,960x540,4,0.0135,7.47,0.26,28.6,314,3298,2109,1687,1611,0.4252,0.3891,0.0361,0.5115,422,0.7999
7.mp4,half_crf40,0.5,40,960x540,4,0.0071,7.47,0.14,54.25,314,3298,1751,1384,1914,0.4237,0.3811,0.0426,0.4196,367,0.7904
7.mp4,half_crf45,0.5,45,960x540,4,0.0038,7.47,0.07,102.16,314,3298,1067,560,2738,0.4091,0.3705,0.0387,0.1698,507,0.5248
7.mp4,half_crf51,0.5,51,960x540,4,0.0018,7.47,0.03,219.57,314,3298,97,20,3278,0.3943,0.3199,0.0745,0.0061,77,0.2062
7.mp4,quarter_crf10,0.25,10,480x270,16,0.9411,7.47,4.57,1.64,314,3298,2570,2349,949,0.4129,0.3766,0.0363,0.7122,221,0.914
7.mp4,quarter_crf15,0.25,15,480x270,16,0.4509,7.47,2.19,3.42,314,3298,2357,2117,1181,0.422,0.3756,0.0465,0.6419,240,0.8982
7.mp4,quarter_crf20,0.25,20,480x270,16,0.208,7.47,1.01,7.41,314,3298,2200,1894,1404,0.4251,0.3815,0.0436,0.5743,306,0.8609
7.mp4,quarter_crf25,0.25,25,480x270,16,0.0866,7.47,0.42,17.78,314,3298,1963,1557,1741,0.4273,0.3977,0.0296,0.4721,406,0.7932
7.mp4,quarter_crf30,0.25,30,480x270,16,0.0359,7.47,0.17,42.87,314,3298,1739,1177,2121,0.4402,0.3828,0.0574,0.3569,562,0.6768
7.mp4,quarter_crf35,0.25,35,480x270,16,0.0162,7.47,0.08,95.23,314,3298,1156,718,2580,0.4172,0.351,0.0663,0.2177,438,0.6211
7.mp4,quarter_crf40,0.25,40,480x270,16,0.0085,7.47,0.04,180.99,314,3298,339,76,3222,0.5082,0.3083,0.1999,0.023,263,0.2242
7.mp4,quarter_crf45,0.25,45,480x270,16,0.0049,7.47,0.02,317.07,314,3298,551,116,3182,0.3648,0.3379,0.0269,0.0352,435,0.2105
7.mp4,quarter_crf51,0.25,51,480x270,16,0.0028,7.47,0.01,548.42,314,3298,80,6,3292,0.2873,0.2873,-0.0,0.0018,74,0.075
8.mp4,full_crf10,1.0,10,1920x1080,1,0.3646,9.86,33.8,0.29,375,5360,5339,5213,147,0.4428,0.4418,0.001,0.9726,126,0.9764
8.mp4,full_crf15,1.0,15,1920x1080,1,0.2144,9.86,19.87,0.5,375,5360,5314,5166,194,0.4443,0.4427,0.0016,0.9638,148,0.9721
8.mp4,full_crf20,1.0,20,1920x1080,1,0.1354,9.86,12.55,0.79,375,5360,5325,5099,261,0.4465,0.4451,0.0013,0.9513,226,0.9576
8.mp4,full_crf25,1.0,25,1920x1080,1,0.0816,9.86,7.56,1.3,375,5360,5300,4987,373,0.4497,0.4463,0.0034,0.9304,313,0.9409
